Year,Month,Entity ID,Entity Name,Plant Producer Type,Plant Name,Plant State,Plant ID,Generator ID,"
Net Summer Capacity (MW)",Technology,Energy Source Code,Prime Mover Code
2016,1,9267,"Hoosier Energy R E C, Inc",Electric Utility,New Castle Solar RES,IN,59981,PV1,1.1,Solar Photovoltaic,SUN,PV
2016,1,9324,Indiana Michigan Power Co,Electric Utility,Deer Creek PV,IN,59855,DCPV1,2.5,Solar Photovoltaic,SUN,PV
2016,1,59285,"Innovative Solar 6, LLC",IPP,Innovative Solar 6,NC,59542,IS6,3.6,Solar Photovoltaic,SUN,PV
2016,1,59447,"Innovative Solar 64, LLC",IPP,Innovative Solar 64,NC,59677,IS064,4.9,Solar Photovoltaic,SUN,PV
2016,1,59851,Jacob Solar LLC,IPP,Jacob Solar,NC,59503,PV1,5,Solar Photovoltaic,SUN,PV
2016,1,58891,Jericho Power LLC,IPP,Jericho Power,NH,59070,WT 1,12.1,Onshore Wind Turbine,WND,WT
2016,1,59850,Kenneth Solar LLC,IPP,Kenneth Solar,NC,59507,PV1,3,Solar Photovoltaic,SUN,PV
2016,1,58679,"Kirkwall Holdings, LLC",IPP,Kirkwall Holdings,NC,58791,PV1,5,Solar Photovoltaic,SUN,PV
2016,1,59245,Lanier Solar,IPP,Lanier Solar,NC,59486,LANIE,4.9,Solar Photovoltaic,SUN,PV
2016,1,58451,"McCoy Solar, LLC",IPP,McCoy Solar Energy Project,CA,58462,BLK7,41.9,Solar Photovoltaic,SUN,PV
2016,1,59691,Meadowbrook Solar Farm LLC,IPP,Meadowbrook Solar Farm,NC,59936,NB008,4.9,Solar Photovoltaic,SUN,PV
2016,1,12341,MidAmerican Energy Co,Electric Utility,Adams Wind,IA,59637,ADWF4,46.9,Onshore Wind Turbine,WND,WT
2016,1,59857,Murdock Solar LLC,IPP,Murdock Solar,NC,59509,PV1,4,Solar Photovoltaic,SUN,PV
2016,1,59262,"NRG Solar Oasis, LLC",IPP,NRG Solar Oasis LLC,CA,59528,OASIS,20,Solar Photovoltaic,SUN,PV
2016,1,59899,"OEE XVII, LLC",Commercial,Harpster Wind,OH,60126,H1,1.5,Onshore Wind Turbine,WND,WT
2016,1,56545,Pattern Operators LP,IPP,Fowler Ridge IV Wind Farm LLC,IN,59547,1,150,Onshore Wind Turbine,WND,WT
2016,1,59514,"River Mountains Solar, LLC",IPP,River Mountains Solar,NV,59747,1,14.4,Solar Photovoltaic,SUN,PV
2016,1,59363,"Silver State Solar Power South, LLC",IPP,Silver State Solar Power South,NV,58644,BLK4,35.7,Solar Photovoltaic,SUN,PV
2016,1,59836,Simons Solar Farm LLC,IPP,Simons Farm,NC,59149,SIMON,5,Solar Photovoltaic,SUN,PV
2016,1,60183,"SolNCPower10, LLC",IPP,Hertford Solar Farm,NC,60384,HERT,5,Solar Photovoltaic,SUN,PV
2016,1,58674,"Sonne One, LLC",IPP,Sonne One,NC,58782,PV1,5,Solar Photovoltaic,SUN,PV
2016,1,60212,"South Winston Farm, LLC",IPP,"South Winston Farm, LLC",NC,60409,SWFPV,5.2,Solar Photovoltaic,SUN,PV
2016,1,17650,Southern Power Co,IPP,Stateline Solar,CA,58646,STL3,37.9,Solar Photovoltaic,SUN,PV
2016,1,58661,"Sustainable Power Group, LLC",IPP,SEPV 18,CA,59730,SPV18,2,Solar Photovoltaic,SUN,PV
2016,1,59412,Tarboro Solar LLC,IPP,Tarboro Solar,NC,59648,5MWPV,5,Solar Photovoltaic,SUN,PV
2016,1,59690,Vance Solar Farm LLC,IPP,"Vance Solar Farm, LLC",NC,59928,NB007,4.9,Solar Photovoltaic,SUN,PV
2016,1,56948,Waverly Wind Farm LLC,IPP,Waverly Wind Farm LLC,KS,57614,GEN1,199,Onshore Wind Turbine,WND,WT
2016,2,59841,70SM1 8ME LLC,IPP,Calipatria Solar Farm,CA,59088,GEN 1,20,Solar Photovoltaic,SUN,PV
2016,2,40577,"American Mun Power-Ohio, Inc",Electric Utility,Willow Island Hydroelectric Plant,WV,57401,WIG2,22,Conventional Hydroelectric,WAT,HY
2016,2,7977,City of Hamilton - (OH),Electric Utility,Meldahl Hydroelectric Project,KY,56872,1,35,Conventional Hydroelectric,WAT,HY
2016,2,10908,City of Lenox - (IA),Electric Utility,Lenox,IA,1158,5,1.8,Petroleum Liquids,DFO,IC
2016,2,56769,Consolidated Edison Development Inc.,IPP,Corcoran Solar 3,CA,59900,C3CA,20,Solar Photovoltaic,SUN,PV
2016,2,57365,Consolidated Edison Solutions Inc,IPP,CES Cherry Hill Solar,NJ,60201,CHNJ,1.2,Solar Photovoltaic,SUN,PV
2016,2,16064,Graphic Packaging International,Industrial,Plant 31 Paper Mill,LA,50028,GEN7,32,Natural Gas Fired Combined Cycle,NG,CC
2016,2,59784,"Innovative Solar 63, LLC",IPP,"Innovative Solar 63, LLC",NC,60053,FLS1,4.9,Solar Photovoltaic,SUN,PV
2016,2,59937,"Lemoore PV1, LLC",IPP,Lemoore 1,CA,60142,LEPV1,1.5,Solar Photovoltaic,SUN,PV
2016,2,59791,Lindberg Field Solar I LLC,IPP,Lindberg FIeld Solar,CA,60060,SDIA2,2.1,Solar Photovoltaic,SUN,PV
2016,2,59996,"Long Farm 46 Solar, LLC",IPP,"Long Farm 46 Solar, LLC",NC,60208,PV1,5,Solar Photovoltaic,SUN,PV
2016,2,17470,PUD 1 of Snohomish County,Electric Utility,MESA 1,WA,60016,B,1,Batteries,MWH,BA
2016,2,57313,SolarCity Corporation,IPP,Onondaga County - Metro Water Board,NY,60097,PV1,1,Solar Photovoltaic,SUN,PV
2016,2,57313,SolarCity Corporation,IPP,Town of Needham VNEM,MA,60110,PV1,3,Solar Photovoltaic,SUN,PV
2016,2,57313,SolarCity Corporation,IPP,Williamsburg Solar LLC VNEM,MA,60111,PV1,2.2,Solar Photovoltaic,SUN,PV
2016,2,17650,Southern Power Co,IPP,Butler Solar Farm 20,GA,59891,1,20,Solar Photovoltaic,SUN,PV
2016,2,17650,Southern Power Co,IPP,Stateline Solar,CA,58646,STL4,37.9,Solar Photovoltaic,SUN,PV
2016,2,59788,Steel Bridge Solar. LLC,IPP,"Steel Bridge Solar, LLC",OR,60057,STEEL,2.3,Solar Photovoltaic,SUN,PV
2016,2,59885,"UIL Distributed Resources, LLC",IPP,UDR Glastonbury Fuel Cell,CT,60109,UDRFC,2.5,Other Natural Gas,NG,FC
2016,2,59969,Whitethorn Solar LLC,IPP,Whitethorn Solar LLC,CA,60193,GEN1,3.3,Solar Photovoltaic,SUN,PV
2016,2,58984,Winton Solar LLC,IPP,Winton Solar,NC,59177,5MWPV,5,Solar Photovoltaic,SUN,PV
2016,3,40577,"American Mun Power-Ohio, Inc",Electric Utility,Cannelton Hydroelectric Plant,KY,57399,CG2,29.3,Conventional Hydroelectric,WAT,HY
2016,3,59789,"Avalon Solar Partners II, LLC",IPP,Avalon Solar II,AZ,60062,ASII,16,Solar Photovoltaic,SUN,PV
2016,3,59842,"Blythe Solar 110, LLC",IPP,"Blythe Solar 110, LLC",CA,60093,BLCK1,38.7,Solar Photovoltaic,SUN,PV
2016,3,298,City of Alexandria - (LA),Electric Utility,D G Hunter,LA,6558,10,8.6,Natural Gas Internal Combustion Engine,NG,IC
2016,3,298,City of Alexandria - (LA),Electric Utility,D G Hunter,LA,6558,11,8.6,Natural Gas Internal Combustion Engine,NG,IC
2016,3,298,City of Alexandria - (LA),Electric Utility,D G Hunter,LA,6558,5,8.6,Natural Gas Internal Combustion Engine,NG,IC
2016,3,298,City of Alexandria - (LA),Electric Utility,D G Hunter,LA,6558,6,8.6,Natural Gas Internal Combustion Engine,NG,IC
2016,3,298,City of Alexandria - (LA),Electric Utility,D G Hunter,LA,6558,7,8.6,Natural Gas Internal Combustion Engine,NG,IC
2016,3,298,City of Alexandria - (LA),Electric Utility,D G Hunter,LA,6558,8,8.6,Natural Gas Internal Combustion Engine,NG,IC
2016,3,298,City of Alexandria - (LA),Electric Utility,D G Hunter,LA,6558,9,8.6,Natural Gas Internal Combustion Engine,NG,IC
2016,3,20069,City of Wamego - (KS),Electric Utility,Wamego,KS,1328,10,2.9,Natural Gas Internal Combustion Engine,NG,IC
2016,3,60250,"DG Bethlehem Solar, LLC",IPP,Bethlehem - East,NY,60477,BE,1.7,Solar Photovoltaic,SUN,PV
2016,3,60250,"DG Bethlehem Solar, LLC",IPP,Bethlehem - West,NY,60478,BW,1,Solar Photovoltaic,SUN,PV
2016,3,60054,Duke Energy Florida Solar Solutions,Electric Utility,Walt Disney World Solar Facility,FL,59973,WDS1,4.9,Solar Photovoltaic,SUN,PV
2016,3,6455,"Duke Energy Florida, Inc",Electric Utility,Osceola Solar Facility,FL,59954,XXXXX,3.8,Solar Photovoltaic,SUN,PV
2016,3,3046,Duke Energy Progress - (NC),Electric Utility,Elm City Solar Facility,NC,59164,NSC 1,17.6,Solar Photovoltaic,SUN,PV
2016,3,57249,EPP Renewable Energy,IPP,Nashua Plant,NH,55006,UNT3,1.5,Landfill Gas,LFG,IC
2016,3,59735,"Enerparc CA2, LLC",IPP,"Enerparc CA2, LLC",CA,59978,ECA22,1.5,Solar Photovoltaic,SUN,PV
2016,3,59402,Garysburg Solar LLC,IPP,Garysburg Solar,NC,59641,5MWPV,5,Solar Photovoltaic,SUN,PV
2016,3,7353,Golden Valley Elec Assn Inc,Electric Utility,Healy,AK,6288,2,50,Conventional Steam Coal,LIG,ST
2016,3,59209,"Half Moon Ventures, LLC",IPP,HMV Minster Energy Storage System,OH,60299,MIN02,7,Batteries,MWH,BA
2016,3,59971,Kenansville Solar 2 LLC,IPP,"Kenansville Solar 2, LLC",NC,58803,INV1,0.5,Solar Photovoltaic,SUN,PV
2016,3,59971,Kenansville Solar 2 LLC,IPP,"Kenansville Solar 2, LLC",NC,58803,INV2,0.5,Solar Photovoltaic,SUN,PV
2016,3,59971,Kenansville Solar 2 LLC,IPP,"Kenansville Solar 2, LLC",NC,58803,INV3,0.5,Solar Photovoltaic,SUN,PV
2016,3,59971,Kenansville Solar 2 LLC,IPP,"Kenansville Solar 2, LLC",NC,58803,INV4,0.5,Solar Photovoltaic,SUN,PV
2016,3,58773,Kingfisher Wind LLC,IPP,Kingfisher Wind LLC,OK,58902,KNG1,298,Onshore Wind Turbine,WND,WT
2016,3,58451,"McCoy Solar, LLC",IPP,McCoy Solar Energy Project,CA,58462,1,41.9,Solar Photovoltaic,SUN,PV
2016,3,12320,Merck & Co Inc,Industrial,Elkton,VA,52148,GEN3,1,Natural Gas Internal Combustion Engine,NG,IC
2016,3,12320,Merck & Co Inc,Industrial,Elkton,VA,52148,GEN4,0.3,Natural Gas Internal Combustion Engine,NG,IC
2016,3,60161,"Snow Camp, LLC",IPP,"Snow Camp Solar, LLC",NC,60367,SCSPV,5.2,Solar Photovoltaic,SUN,PV
2016,3,17650,Southern Power Co,IPP,Pawpaw Solar Plant,GA,59894,1,30,Solar Photovoltaic,SUN,PV
2016,3,59139,SunEdison LLC,IPP,SunE- E Philadelphia Ontario,CA,59916,12307,1,Solar Photovoltaic,SUN,PV
2016,3,58661,"Sustainable Power Group, LLC",IPP,Latigo Wind Park,UT,59965,LTIGO,62.1,Onshore Wind Turbine,WND,WT
2016,3,19876,Virginia Electric & Power Co,Electric Utility,Philip Morris,VA,59911,1,2,Solar Photovoltaic,SUN,PV
2016,4,59912,Amethyst Solar LLC,IPP,Amethyst Solar,NC,58730,PV1,3,Solar Photovoltaic,SUN,PV
2016,4,59910,Audrey Solar LLC,IPP,Audrey Solar,NC,58732,PV1,3,Solar Photovoltaic,SUN,PV
2016,4,58877,Blue Heron Hydro LLC,IPP,Ball Mountain Hydro,VT,59040,GEN 1,0.2,Conventional Hydroelectric,WAT,HY
2016,4,58877,Blue Heron Hydro LLC,IPP,Ball Mountain Hydro,VT,59040,GEN 2,0.2,Conventional Hydroelectric,WAT,HY
2016,4,58877,Blue Heron Hydro LLC,IPP,Ball Mountain Hydro,VT,59040,GEN 3,0.2,Conventional Hydroelectric,WAT,HY
2016,4,58877,Blue Heron Hydro LLC,IPP,Ball Mountain Hydro,VT,59040,GEN 5,0.2,Conventional Hydroelectric,WAT,HY
2016,4,58877,Blue Heron Hydro LLC,IPP,Ball Mountain Hydro,VT,59040,GEN 6,0.2,Conventional Hydroelectric,WAT,HY
2016,4,58877,Blue Heron Hydro LLC,IPP,Ball Mountain Hydro,VT,59040,GEN 7,0.2,Conventional Hydroelectric,WAT,HY
2016,4,58877,Blue Heron Hydro LLC,IPP,Ball Mountain Hydro,VT,59040,GEN 8,0.2,Conventional Hydroelectric,WAT,HY
2016,4,58877,Blue Heron Hydro LLC,IPP,Ball Mountain Hydro,VT,59040,GEN 9,0.2,Conventional Hydroelectric,WAT,HY
2016,4,58877,Blue Heron Hydro LLC,IPP,Ball Mountain Hydro,VT,59040,GEN10,0.2,Conventional Hydroelectric,WAT,HY
2016,4,58877,Blue Heron Hydro LLC,IPP,Ball Mountain Hydro,VT,59040,GEN11,0.2,Conventional Hydroelectric,WAT,HY
2016,4,58877,Blue Heron Hydro LLC,IPP,Ball Mountain Hydro,VT,59040,GEN12,0.2,Conventional Hydroelectric,WAT,HY
2016,4,58877,Blue Heron Hydro LLC,IPP,Ball Mountain Hydro,VT,59040,GEN4,0.2,Conventional Hydroelectric,WAT,HY
2016,4,58877,Blue Heron Hydro LLC,IPP,Townshend Hydro,VT,59089,GEN1,0.1,Conventional Hydroelectric,WAT,HY
2016,4,58877,Blue Heron Hydro LLC,IPP,Townshend Hydro,VT,59089,GEN10,0.1,Conventional Hydroelectric,WAT,HY
2016,4,58877,Blue Heron Hydro LLC,IPP,Townshend Hydro,VT,59089,GEN11,0.1,Conventional Hydroelectric,WAT,HY
2016,4,58877,Blue Heron Hydro LLC,IPP,Townshend Hydro,VT,59089,GEN12,0.1,Conventional Hydroelectric,WAT,HY
2016,4,58877,Blue Heron Hydro LLC,IPP,Townshend Hydro,VT,59089,GEN2,0.1,Conventional Hydroelectric,WAT,HY
2016,4,58877,Blue Heron Hydro LLC,IPP,Townshend Hydro,VT,59089,GEN3,0.1,Conventional Hydroelectric,WAT,HY
2016,4,58877,Blue Heron Hydro LLC,IPP,Townshend Hydro,VT,59089,GEN4,0.1,Conventional Hydroelectric,WAT,HY
2016,4,58877,Blue Heron Hydro LLC,IPP,Townshend Hydro,VT,59089,GEN5,0.1,Conventional Hydroelectric,WAT,HY
2016,4,58877,Blue Heron Hydro LLC,IPP,Townshend Hydro,VT,59089,GEN6,0.1,Conventional Hydroelectric,WAT,HY
2016,4,58877,Blue Heron Hydro LLC,IPP,Townshend Hydro,VT,59089,GEN7,0.1,Conventional Hydroelectric,WAT,HY
2016,4,58877,Blue Heron Hydro LLC,IPP,Townshend Hydro,VT,59089,GEN8,0.1,Conventional Hydroelectric,WAT,HY
2016,4,58877,Blue Heron Hydro LLC,IPP,Townshend Hydro,VT,59089,GEN9,0.1,Conventional Hydroelectric,WAT,HY
2016,4,59842,"Blythe Solar 110, LLC",IPP,"Blythe Solar 110, LLC",CA,60093,BLCK2,36.3,Solar Photovoltaic,SUN,PV
2016,4,59842,"Blythe Solar 110, LLC",IPP,"Blythe Solar 110, LLC",CA,60093,BLCK3,34.8,Solar Photovoltaic,SUN,PV
2016,4,59228,"Bowerman Power LFG, LLC",IPP,"Bowerman Power LFG, LLC",CA,59461,GEN01,3.4,Landfill Gas,LFG,IC
2016,4,59228,"Bowerman Power LFG, LLC",IPP,"Bowerman Power LFG, LLC",CA,59461,GEN02,3.4,Landfill Gas,LFG,IC
2016,4,59228,"Bowerman Power LFG, LLC",IPP,"Bowerman Power LFG, LLC",CA,59461,GEN03,3.4,Landfill Gas,LFG,IC
2016,4,59228,"Bowerman Power LFG, LLC",IPP,"Bowerman Power LFG, LLC",CA,59461,GEN04,3.4,Landfill Gas,LFG,IC
2016,4,59228,"Bowerman Power LFG, LLC",IPP,"Bowerman Power LFG, LLC",CA,59461,GEN05,3.4,Landfill Gas,LFG,IC
2016,4,59228,"Bowerman Power LFG, LLC",IPP,"Bowerman Power LFG, LLC",CA,59461,GEN06,3.4,Landfill Gas,LFG,IC
2016,4,59228,"Bowerman Power LFG, LLC",IPP,"Bowerman Power LFG, LLC",CA,59461,GEN07,3.4,Landfill Gas,LFG,IC
2016,4,57260,CSOLAR IV West LLC,IPP,Imperial Solar Energy Center West,CA,57491,56819,148.7,Solar Photovoltaic,SUN,PV
2016,4,7977,City of Hamilton - (OH),Electric Utility,Meldahl Hydroelectric Project,KY,56872,3,35,Conventional Hydroelectric,WAT,HY
2016,4,4254,Consumers Energy Co,Electric Utility,Grand Valley Solar Gardens,MI,60118,1,3,Solar Photovoltaic,SUN,PV
2016,4,59745,First Solar Asset Management,IPP,Kingbird A Solar LLC,CA,59868,GEN01,20,Solar Photovoltaic,SUN,PV
2016,4,59745,First Solar Asset Management,IPP,"Kingbird B Solar, LLC",CA,60091,GEN01,20,Solar Photovoltaic,SUN,PV
2016,4,6452,Florida Power & Light Co,Electric Utility,Port Everglades,FL,617,5A,1260,Natural Gas Fired Combined Cycle,NG,CT
2016,4,6452,Florida Power & Light Co,Electric Utility,Port Everglades,FL,617,5B, ,Natural Gas Fired Combined Cycle,NG,CT
2016,4,6452,Florida Power & Light Co,Electric Utility,Port Everglades,FL,617,5C, ,Natural Gas Fired Combined Cycle,NG,CT
2016,4,6452,Florida Power & Light Co,Electric Utility,Port Everglades,FL,617,5ST, ,Natural Gas Fired Combined Cycle,NG,CA
2016,4,59403,Gaston Solar LLC,IPP,Gaston Solar,NC,59642,5MWPV,5,Solar Photovoltaic,SUN,PV
2016,4,59462,"Heelstone Energy Holdings, LLC",IPP,Crestwood Solar Center LLC,NC,59914,CREST,5,Solar Photovoltaic,SUN,PV
2016,4,49893,Invenergy Services LLC,IPP,Prairie Breeze III,NE,60314,GEN1,35.8,Onshore Wind Turbine,WND,WT
2016,4,58451,"McCoy Solar, LLC",IPP,McCoy Solar Energy Project,CA,58462,BLK2,21,Solar Photovoltaic,SUN,PV
2016,4,12524,Midwest Energy Inc,Electric Utility,Goodman Energy Center,KS,56497,10,9.2,Natural Gas Internal Combustion Engine,NG,IC
2016,4,12524,Midwest Energy Inc,Electric Utility,Goodman Energy Center,KS,56497,11,9.2,Natural Gas Internal Combustion Engine,NG,IC
2016,4,12524,Midwest Energy Inc,Electric Utility,Goodman Energy Center,KS,56497,12,9.2,Natural Gas Internal Combustion Engine,NG,IC
2016,4,59911,Milo Solar LLC,IPP,Milo Solar,NC,58739,PV1,3,Solar Photovoltaic,SUN,PV
2016,4,59913,Minnie Solar LLC,IPP,Minnie Solar,NC,58740,PV1,3,Solar Photovoltaic,SUN,PV
2016,4,12199,Montana-Dakota Utilities Co,Electric Utility,Lewis & Clark,MT,6089,2,9.1,Natural Gas Internal Combustion Engine,NG,IC
2016,4,12199,Montana-Dakota Utilities Co,Electric Utility,Lewis & Clark,MT,6089,3,9.1,Natural Gas Internal Combustion Engine,NG,IC
2016,4,60211,"Nash 97 Solar, LLC",IPP,"Nash 97 Solar, LLC",NC,60408,97PV,5.2,Solar Photovoltaic,SUN,PV
2016,4,59916,Owen Solar LLC,IPP,Owen Solar,NC,58742,PV1,5,Solar Photovoltaic,SUN,PV
2016,4,59713,"Potrero Hills Energy Producers, LLC",IPP,Potrero Hills Energy Producers,CA,59952,1,1.6,Landfill Gas,LFG,IC
2016,4,59713,"Potrero Hills Energy Producers, LLC",IPP,Potrero Hills Energy Producers,CA,59952,2,1.6,Landfill Gas,LFG,IC
2016,4,59713,"Potrero Hills Energy Producers, LLC",IPP,Potrero Hills Energy Producers,CA,59952,3,1.6,Landfill Gas,LFG,IC
2016,4,59713,"Potrero Hills Energy Producers, LLC",IPP,Potrero Hills Energy Producers,CA,59952,4,1.6,Landfill Gas,LFG,IC
2016,4,59713,"Potrero Hills Energy Producers, LLC",IPP,Potrero Hills Energy Producers,CA,59952,5,1.6,Landfill Gas,LFG,IC
2016,4,59363,"Silver State Solar Power South, LLC",IPP,Silver State Solar Power South,NV,58644,BLK5,35,Solar Photovoltaic,SUN,PV
2016,4,59363,"Silver State Solar Power South, LLC",IPP,Silver State Solar Power South,NV,58644,BLK6,36.6,Solar Photovoltaic,SUN,PV
2016,4,57313,SolarCity Corporation,IPP,Genentech-Oceanside,CA,60231,PV1,4.5,Solar Photovoltaic,SUN,PV
2016,4,59914,Sophie Solar LLC,IPP,Sophie Solar,NC,58745,PV1,4.5,Solar Photovoltaic,SUN,PV
2016,4,17609,Southern California Edison Co,Electric Utility,Tehachapi Energy Storage Project,CA,59661,TSP1,8,Batteries,MWH,BA
2016,4,17650,Southern Power Co,IPP,"Grant Wind, LLC",OK,60013,GRANT,151.8,Onshore Wind Turbine,WND,WT
2016,4,17650,Southern Power Co,IPP,Stateline Solar,CA,58646,STL5,37.9,Solar Photovoltaic,SUN,PV
2016,4,59915,Star Solar LLC,IPP,Star Solar,NC,58746,PV1,5,Solar Photovoltaic,SUN,PV
2016,4,58661,"Sustainable Power Group, LLC",Commercial,Southbridge Solar,MA,60278,SBRDG,1.9,Solar Photovoltaic,SUN,PV
2016,4,19497,United Illuminating Co,Electric Utility,UI RCP Bridgeport Seaside,CT,60054,BPPV,2.2,Solar Photovoltaic,SUN,PV
2016,4,19876,Virginia Electric & Power Co,Electric Utility,Brunswick County Power Station,VA,58260,CT01,263.9,Natural Gas Fired Combined Cycle,NG,CT
2016,4,19876,Virginia Electric & Power Co,Electric Utility,Brunswick County Power Station,VA,58260,CT02,263.9,Natural Gas Fired Combined Cycle,NG,CT
2016,4,19876,Virginia Electric & Power Co,Electric Utility,Brunswick County Power Station,VA,58260,CT03,263.9,Natural Gas Fired Combined Cycle,NG,CT
2016,4,19876,Virginia Electric & Power Co,Electric Utility,Brunswick County Power Station,VA,58260,ST01,579.4,Natural Gas Fired Combined Cycle,NG,CA
2016,4,19876,Virginia Electric & Power Co,Electric Utility,Western Branch High School,VA,59904,1,1,Solar Photovoltaic,SUN,PV
2016,4,58982,Woodland Solar LLC,IPP,Woodland Solar,NC,59175,5MWPV,5,Solar Photovoltaic,SUN,PV
2016,4,60059,ZGlobal Inc,IPP,Castor Solar,CA,60277,CASTR,1.5,Solar Photovoltaic,SUN,PV
2016,5,60281,"Altus Power America Management, LLC",IPP,Rail Trail,MA,60492,PV1,2,Solar Photovoltaic,SUN,PV
2016,5,60281,"Altus Power America Management, LLC",IPP,Rising Paper,MA,60493,1,2.5,Solar Photovoltaic,SUN,PV
2016,5,59359,"BHE Renewables, LLC",IPP,Marshall Wind Farm,KS,59084,RPMA,73.8,Onshore Wind Turbine,WND,WT
2016,5,60157,"Battleboro Farm, LLC",IPP,Battleboro Farm,NC,60369,BFPV,5.2,Solar Photovoltaic,SUN,PV
2016,5,58468,Dominion Renewable Energy,IPP,Marin Carport,CA,59703,1,1,Solar Photovoltaic,SUN,PV
2016,5,56215,E ON Climate Renewables N America LLC,IPP,"Colbec's Corner, LLC",TX,59068,GVII,200,Onshore Wind Turbine,WND,WT
2016,5,49942,Eagle Point Power Generation LLC,IPP,Eagle Point Power Generation,NJ,50561,STG2,26.8,Natural Gas Fired Combined Cycle,NG,CA
2016,5,58135,Ecos Energy LLC,IPP,Sudbury Solar,VT,60344,SUD,2,Solar Photovoltaic,SUN,PV
2016,5,5701,El Paso Electric Co,Electric Utility,Montana Power Station,TX,58562,GT-3,100,Natural Gas Fired Combustion Turbine,NG,GT
2016,5,5860,Empire District Electric Co,Electric Utility,Riverton,KS,1239,12-2,117,Natural Gas Fired Combined Cycle,NG,CA
2016,5,6452,Florida Power & Light Co,Electric Utility,Daytona International Speedway Solar,FL,60005,1,0.8,Solar Photovoltaic,SUN,PV
2016,5,6452,Florida Power & Light Co,Electric Utility,FIU Solar,FL,60006,1,0.8,Solar Photovoltaic,SUN,PV
2016,5,7349,"Golden Spread Electric Cooperative, Inc",Electric Utility,Elk Station,TX,58835,ELK2,189,Natural Gas Fired Combustion Turbine,NG,GT
2016,5,7349,"Golden Spread Electric Cooperative, Inc",Electric Utility,Elk Station,TX,58835,ELK3,189,Natural Gas Fired Combustion Turbine,NG,GT
2016,5,60187,Granger Energy of Morgantown,IPP,Granger Energy of Morgantown,PA,60388,GEMT,1.6,Landfill Gas,LFG,IC
2016,5,10171,Kentucky Utilities Co,Electric Utility,E W Brown,KY,1355,SOLAR,10,Solar Photovoltaic,SUN,PV
2016,5,56990,NJR Clean Energy Ventures Corporation,IPP,East Amwell,NJ,60327,AMWEL,1.8,Solar Photovoltaic,SUN,PV
2016,5,56990,NJR Clean Energy Ventures Corporation,IPP,Junction Road,NJ,60265,JUNCT,4.4,Solar Photovoltaic,SUN,PV
2016,5,56990,NJR Clean Energy Ventures Corporation,IPP,Sharon Station,NJ,60267,SHRN1,2.7,Solar Photovoltaic,SUN,PV
2016,5,59893,Northern Water Hydropower Enterprise,Commercial,Granby Hydro,CO,60119,GEN1,1.2,Conventional Hydroelectric,WAT,HY
2016,5,40229,Old Dominion Electric Coop,Electric Utility,Monterey Diesel Generation Facility,VA,59614,MDG1,0.6,Petroleum Liquids,DFO,IC
2016,5,40229,Old Dominion Electric Coop,Electric Utility,Monterey Diesel Generation Facility,VA,59614,MDG10,0.6,Petroleum Liquids,DFO,IC
2016,5,40229,Old Dominion Electric Coop,Electric Utility,Monterey Diesel Generation Facility,VA,59614,MDG2,0.6,Petroleum Liquids,DFO,IC
2016,5,40229,Old Dominion Electric Coop,Electric Utility,Monterey Diesel Generation Facility,VA,59614,MDG3,0.6,Petroleum Liquids,DFO,IC
2016,5,40229,Old Dominion Electric Coop,Electric Utility,Monterey Diesel Generation Facility,VA,59614,MDG4,0.6,Petroleum Liquids,DFO,IC
