Year,Month,Entity ID,Entity Name,Plant Producer Type,Plant Name,Plant State,Plant ID,Generator ID,"
Net Summer Capacity (MW)",Technology,Energy Source Code,Prime Mover Code,Status,"
Nameplate Capacity (MW)"
2016,12,17845,City of Springville - (UT),Electric Utility,Whitehead,UT,7028,K7CAT,2.5,Natural Gas Internal Combustion Engine,NG,IC,"(TS) Construction complete, but not yet in commercial operation",2.5
2016,12,56769,Consolidated Edison Development Inc.,IPP,CED Avenal,CA,60077,AVCA,15.8,Solar Photovoltaic,SUN,PV,"(TS) Construction complete, but not yet in commercial operation",15.8
2016,12,56769,Consolidated Edison Development Inc.,IPP,CED Ducor 1,CA,60078,DU1CA,20,Solar Photovoltaic,SUN,PV,"(V) Under construction, more than 50 percent complete",20
2016,12,56769,Consolidated Edison Development Inc.,IPP,CED Ducor 2,CA,60079,DU2CA,20,Solar Photovoltaic,SUN,PV,"(V) Under construction, more than 50 percent complete",20
2016,12,56769,Consolidated Edison Development Inc.,IPP,CED Ducor 3,CA,60080,DU3CA,15,Solar Photovoltaic,SUN,PV,"(V) Under construction, more than 50 percent complete",15
2016,12,56769,Consolidated Edison Development Inc.,IPP,CED Ducor 4,CA,60081,DU4CA,20,Solar Photovoltaic,SUN,PV,"(V) Under construction, more than 50 percent complete",20
2016,12,56769,Consolidated Edison Development Inc.,IPP,Oro Loma,CA,59915,ORCA,20,Solar Photovoltaic,SUN,PV,"(TS) Construction complete, but not yet in commercial operation",20
2016,12,5109,DTE Electric Company,Electric Utility,Echo Wind Park,MI,58121,GEN3,50,Onshore Wind Turbine,WND,WT,"(U) Under construction, less than or equal to 50 percent complete",50
2016,12,57406,Deepwater Wind Block Island LLC,IPP,Block Island Wind Farm,RI,58035,BIWF,29.3,Offshore Wind Turbine,WND,WS,"(TS) Construction complete, but not yet in commercial operation",30
2016,12,5416,"Duke Energy Carolinas, LLC",IPP,Mocksville Solar,NC,59570,PV1,7.1,Solar Photovoltaic,SUN,PV,"(V) Under construction, more than 50 percent complete",15.4
2016,12,15470,"Duke Energy Indiana, LLC",Electric Utility,Crane Solar Facility,IN,60435,XXXXX,7.1,Solar Photovoltaic,SUN,PV,"(V) Under construction, more than 50 percent complete",17
2016,12,58970,"Ecoplexus, Inc",IPP,Baker PV 1,NC,59517,BAKE1,5,Solar Photovoltaic,SUN,PV,"(V) Under construction, more than 50 percent complete",5
2016,12,58970,"Ecoplexus, Inc",IPP,Benthall Bridge PV 1,NC,59515,BENT1,5,Solar Photovoltaic,SUN,PV,"(V) Under construction, more than 50 percent complete",5
2016,12,58970,"Ecoplexus, Inc",IPP,Turkey Creek PV1,NC,60000,TRKCK,13.5,Solar Photovoltaic,SUN,PV,"(V) Under construction, more than 50 percent complete",13.5
2016,12,58720,Enbridge,IPP,New Creek Wind,WV,60132,NCG01,103,Onshore Wind Turbine,WND,WT,"(TS) Construction complete, but not yet in commercial operation",103
2016,12,59380,"Enel Green Power NA, Inc.",IPP,Drift Sand Wind Project LLC,OK,59065,WT1,109.8,Onshore Wind Turbine,WND,WT,"(V) Under construction, more than 50 percent complete",109.8
2016,12,59380,"Enel Green Power NA, Inc.",IPP,"Lindahl Wind Project, LLC",ND,59684,LWP01,150,Onshore Wind Turbine,WND,WT,"(V) Under construction, more than 50 percent complete",150
2016,12,59380,"Enel Green Power NA, Inc.",IPP,South Fork Wind Farm,MN,58691,STFK1,13,Onshore Wind Turbine,WND,WT,"(V) Under construction, more than 50 percent complete",13
2016,12,60201,"Exum Farm Solar, LLC",IPP,"Exum Farm Solar, LLC",NC,60400,FLS1,4.9,Solar Photovoltaic,SUN,PV,"(V) Under construction, more than 50 percent complete",4.9
2016,12,31719,FPL Energy Wyman LLC,IPP,William F Wyman,ME,1507,BESS,16.2,Batteries,MWH,BA,"(V) Under construction, more than 50 percent complete",16.7
2016,12,59745,First Solar Asset Management,IPP,Moapa Southern Paiute,NV,57859,1,250,Solar Photovoltaic,SUN,PV,"(V) Under construction, more than 50 percent complete",250
2016,12,59155,"First Wind O&M, LLC",IPP,Bingham Wind,ME,57531,1,186,Onshore Wind Turbine,WND,WT,"(V) Under construction, more than 50 percent complete",186
2016,12,59155,"First Wind O&M, LLC",IPP,Hancock Wind Plant,ME,58686,HANC1,51,Onshore Wind Turbine,WND,WT,"(V) Under construction, more than 50 percent complete",51
2016,12,6452,Florida Power & Light Co,Electric Utility,Babcock Solar Energy Center,FL,59993,1,74.5,Solar Photovoltaic,SUN,PV,"(V) Under construction, more than 50 percent complete",74.5
2016,12,6452,Florida Power & Light Co,Electric Utility,Citrus Solar Energy Center,FL,60061,1,74.5,Solar Photovoltaic,SUN,PV,"(V) Under construction, more than 50 percent complete",74.5
2016,12,6452,Florida Power & Light Co,Electric Utility,Manatee Solar Energy Center,FL,60014,1,74.5,Solar Photovoltaic,SUN,PV,"(V) Under construction, more than 50 percent complete",74.5
2016,12,59481,Franklinton Solar LLC,IPP,Franklinton Solar,NC,59708,5MWPV,5,Solar Photovoltaic,SUN,PV,"(V) Under construction, more than 50 percent complete",5
2016,12,59998,"Frontier Windpower, LLC",IPP,Frontier Windpower,OK,60218,FC1,200,Onshore Wind Turbine,WND,WT,"(V) Under construction, more than 50 percent complete",200
2016,12,7140,Georgia Power Co,Electric Utility,King's Bay Solar Facility,GA,59864,1,30,Solar Photovoltaic,SUN,PV,"(V) Under construction, more than 50 percent complete",30
2016,12,55932,Georgia-Pacific Brewton LLC,Industrial,Georgia-Pacific Brewton Mill,AL,54789,4TG,62,Wood/Wood Waste Biomass,BLQ,ST,"(V) Under construction, more than 50 percent complete",75
2016,12,59806,"Grand View PV Solar Two, LLC",IPP,Grand View Solar Two,ID,60068,GVS2,60,Solar Photovoltaic,SUN,PV,"(TS) Construction complete, but not yet in commercial operation",60
2016,12,59806,"Grand View PV Solar Two, LLC",IPP,Grand View Solar Two,ID,60068,GVS5,20,Solar Photovoltaic,SUN,PV,"(TS) Construction complete, but not yet in commercial operation",20
2016,12,59462,"Heelstone Energy Holdings, LLC",IPP,Freemont Solar Center LLC,NC,59912,FREE,5,Solar Photovoltaic,SUN,PV,"(V) Under construction, more than 50 percent complete",5
2016,12,59462,"Heelstone Energy Holdings, LLC",IPP,Sonne Two,NC,58829,PV1,5,Solar Photovoltaic,SUN,PV,"(V) Under construction, more than 50 percent complete",5
2016,12,59462,"Heelstone Energy Holdings, LLC",IPP,Valley Center,CA,60509,PV1,3,Solar Photovoltaic,SUN,PV,"(V) Under construction, more than 50 percent complete",3
2016,12,59977,Hemlock Solar LLC,IPP,Hemlock Solar,NC,60207,HEMLK,5,Solar Photovoltaic,SUN,PV,"(V) Under construction, more than 50 percent complete",5
2016,12,56946,Hidalgo Wind Farm LLC,IPP,Hidalgo Wind Farm LLC,TX,57617,GEN1,250,Onshore Wind Turbine,WND,WT,"(TS) Construction complete, but not yet in commercial operation",250
2016,12,60164,ILR Landfill,IPP,ILR Landfill,NJ,60375,ILR1,7.7,Solar Photovoltaic,SUN,PV,"(U) Under construction, less than or equal to 50 percent complete",7.7
2016,12,59941,"Innovative Solar 43, LLC",IPP,"Innovative Solar 43, LLC",NC,60149,FLS1,50.8,Solar Photovoltaic,SUN,PV,"(V) Under construction, more than 50 percent complete",50.8
2016,12,59441,"Innovative Solar 46, LLC",IPP,Innovative Solar 46,NC,59671,IS046,78.5,Solar Photovoltaic,SUN,PV,"(V) Under construction, more than 50 percent complete",78.5
2016,12,60198,"Kennedy Solar, LLC",IPP,"Kennedy Solar, LLC",NC,60397,FLS1,4.9,Solar Photovoltaic,SUN,PV,"(V) Under construction, more than 50 percent complete",4.9
2016,12,59022,Leonardo Wind 1 LLC,IPP,Leonardo Wind 1 LLC,IA,59228,WT1,3,Onshore Wind Turbine,WND,WT,"(V) Under construction, more than 50 percent complete",3
2016,12,60200,"Lincoln Solar, LLC",IPP,"Lincoln Solar, LLC (NC)",NC,60399,FLS1,4.9,Solar Photovoltaic,SUN,PV,"(V) Under construction, more than 50 percent complete",4.9
2016,12,59802,"Live Oak Solar, LLC",IPP,"Live Oak Solar, LLC",GA,60063,LVEOK,51,Solar Photovoltaic,SUN,PV,"(TS) Construction complete, but not yet in commercial operation",51
2016,12,60271,"Longboat Solar, LLC",IPP,"Longboat Solar, LLC",CA,60485,PV1,20,Solar Photovoltaic,SUN,PV,"(V) Under construction, more than 50 percent complete",20
2016,12,60106,"Mesquite Solar 2, LLC",IPP,"Mesquite Solar 2, LLC",AZ,60307,1,100,Solar Photovoltaic,SUN,PV,"(TS) Construction complete, but not yet in commercial operation",100
2016,12,60107,"Mesquite Solar 3, LLC",IPP,"Mesquite Solar 3, LLC",AZ,60308,1,150,Solar Photovoltaic,SUN,PV,"(TS) Construction complete, but not yet in commercial operation",150
2016,12,59483,Metropolitan Airports Commission,IPP,St. Paul Intl Airport Red & Blue Parking,MN,59709,PV2,0.9,Solar Photovoltaic,SUN,PV,"(U) Under construction, less than or equal to 50 percent complete",0.9
2016,12,59027,Michelangelo Wind 4 LLC,IPP,Michelangelo Wind 4 LLC,IA,59232,WT1,3,Onshore Wind Turbine,WND,WT,"(V) Under construction, more than 50 percent complete",3
2016,12,12341,MidAmerican Energy Co,Electric Utility,Ida Grove Wind,IA,60342,IGWF2,119.6,Onshore Wind Turbine,WND,WT,"(V) Under construction, more than 50 percent complete",119.6
2016,12,12341,MidAmerican Energy Co,Electric Utility,Ida Grove Wind,IA,60342,IGWF3,92.8,Onshore Wind Turbine,WND,WT,"(V) Under construction, more than 50 percent complete",92.8
2016,12,12341,MidAmerican Energy Co,Electric Utility,O'Brien Wind,IA,60326,OBWF2,108.7,Onshore Wind Turbine,WND,WT,"(V) Under construction, more than 50 percent complete",108.7
2016,12,12341,MidAmerican Energy Co,Electric Utility,O'Brien Wind,IA,60326,OBWF3,79.7,Onshore Wind Turbine,WND,WT,"(TS) Construction complete, but not yet in commercial operation",79.7
2016,12,56990,NJR Clean Energy Ventures Corporation,IPP,"Ringer Hill Wind Farm, LLC",PA,60329,RINGR,39.9,Onshore Wind Turbine,WND,WT,"(V) Under construction, more than 50 percent complete",39.9
2016,12,13511,New York State Elec & Gas Corp,Electric Utility,Harris Lake,NY,2528,2,2.3,Petroleum Liquids,DFO,IC,"(V) Under construction, more than 50 percent complete",2.5
2016,12,59634,North Star Solar PV LLC,IPP,North Star Solar Project,MN,59852,NSSP1,100,Solar Photovoltaic,SUN,PV,"(V) Under construction, more than 50 percent complete",100
2016,12,13781,Northern States Power Co - Minnesota,IPP,Courtenay Wind Farm,ND,58658,1,200,Onshore Wind Turbine,WND,WT,"(TS) Construction complete, but not yet in commercial operation",200
2016,12,59025,Optimum Wind 3 LLC,IPP,Optimum Wind 3 LLC,IA,59227,WT1,3,Onshore Wind Turbine,WND,WT,"(U) Under construction, less than or equal to 50 percent complete",3
2016,12,59024,Optimum Wind 4 LLC,IPP,Optimum Wind 4 LLC,IA,59226,WT1,3,Onshore Wind Turbine,WND,WT,"(U) Under construction, less than or equal to 50 percent complete",3
2016,12,59017,Optimum Wind 5 LLC,IPP,Optimum Wind 5 LLC,IA,59223,WT1,3,Onshore Wind Turbine,WND,WT,"(U) Under construction, less than or equal to 50 percent complete",3
2016,12,59018,Optimum Wind 6 LLC,IPP,Optimum Wind 6 LLC,IA,59224,WT1,3,Onshore Wind Turbine,WND,WT,"(U) Under construction, less than or equal to 50 percent complete",3
2016,12,59019,Optimum Wind 7 LLC,IPP,Optimum Wind 7 LLC,IA,59225,WT1,3,Onshore Wind Turbine,WND,WT,"(U) Under construction, less than or equal to 50 percent complete",3
2016,12,60258,Paulding Wind Farm III LLC,IPP,Paulding Wind Farm III,OH,60470,1,100.8,Onshore Wind Turbine,WND,WT,"(V) Under construction, more than 50 percent complete",100.8
2016,12,60207,"Pisgah Mountain, LLC",IPP,Pisgah Mountain Wind,ME,60404,PISGA,9.1,Onshore Wind Turbine,WND,WT,"(V) Under construction, more than 50 percent complete",9.1
2016,12,59682,Pollocksville Solar LLC,IPP,Pollocksville Solar,NC,59917,5MWPV,5,Solar Photovoltaic,SUN,PV,"(V) Under construction, more than 50 percent complete",5
2016,12,40307,"Prairie Power, Inc",Electric Utility,Alsey,IL,7818,6,42,Natural Gas Fired Combustion Turbine,NG,GT,"(TS) Construction complete, but not yet in commercial operation",48
2016,12,60125,"Providence Solar Center, LLC",IPP,Providence Solar,TN,60337,PROV,16,Solar Photovoltaic,SUN,PV,"(V) Under construction, more than 50 percent complete",16
2016,12,59728,RE Astoria 2 LLC,IPP,RE Astoria 2,CA,59977,ASTR2,75,Solar Photovoltaic,SUN,PV,"(V) Under construction, more than 50 percent complete",75
2016,12,59727,RE Astoria LLC,IPP,RE Astoria,CA,59976,ASTR1,100,Solar Photovoltaic,SUN,PV,"(V) Under construction, more than 50 percent complete",100
2016,12,60189,"SJA Solar, LLC",IPP,SJA Solar LLC-Solterra Monastery,MA,60391,SJAPV,20.1,Solar Photovoltaic,SUN,PV,"(V) Under construction, more than 50 percent complete",20.1
2016,12,60060,"SR Mavericks, LLC",IPP,SR Mavericks,CO,60283,MVRKS,6.5,Solar Photovoltaic,SUN,PV,"(V) Under construction, more than 50 percent complete",6.5
2016,12,60182,"SRJFC, LLC",Electric CHP,Santa Rita Jail Fuel Cell,CA,60385,MB-18,1.4,Other Natural Gas,NG,FC,"(TS) Construction complete, but not yet in commercial operation",1.4
2016,12,60097,"San Isabel Solar, LLC",IPP,"San Isabel Solar, LLC",CO,60304,SISPV,30,Solar Photovoltaic,SUN,PV,"(V) Under construction, more than 50 percent complete",30
2016,12,60257,Solar Glynn LLC,IPP,Solar Glynn,GA,60469,INV1,18,Solar Photovoltaic,SUN,PV,"(TS) Construction complete, but not yet in commercial operation",18
2016,12,60177,"Solar Star Arizona XIII, LLC",IPP,Sulphur Springs,AZ,60381,SSSP,20,Solar Photovoltaic,SUN,PV,"(V) Under construction, more than 50 percent complete",20
2016,12,57313,SolarCity Corporation,IPP,AVS Lancaster 1,CA,60085,PV1,3.7,Solar Photovoltaic,SUN,PV,"(TS) Construction complete, but not yet in commercial operation",3.7
2016,12,57313,SolarCity Corporation,IPP,Connecticut Municipal Electric Energy Cooperative - Bozrah,CT,60225,PV1,2.5,Solar Photovoltaic,SUN,PV,"(TS) Construction complete, but not yet in commercial operation",2.5
2016,12,57313,SolarCity Corporation,IPP,Connecticut Municipal Electric Energy Cooperative- Norwich (Rogers Rd),CT,60228,PV1,1,Solar Photovoltaic,SUN,PV,"(TS) Construction complete, but not yet in commercial operation",1
2016,12,57313,SolarCity Corporation,IPP,"Hewlett-Packard (HP) - Andover, MA",MA,60099,PV1,1.7,Solar Photovoltaic,SUN,PV,"(TS) Construction complete, but not yet in commercial operation",1.7
2016,12,57313,SolarCity Corporation,IPP,Onondaga County- Clearwater,NY,60462,PV1,2.4,Solar Photovoltaic,SUN,PV,"(U) Under construction, less than or equal to 50 percent complete",2.4
2016,12,57313,SolarCity Corporation,IPP,Onondaga County- Jamesville,NY,60232,PV1,1.9,Solar Photovoltaic,SUN,PV,"(TS) Construction complete, but not yet in commercial operation",1.9
2016,12,57313,SolarCity Corporation,IPP,US-TOPCO (Soccer Center),CA,60086,PV1,3,Solar Photovoltaic,SUN,PV,"(TS) Construction complete, but not yet in commercial operation",3
2016,12,17583,"South Texas Electric Coop, Inc",Electric Utility,Red Gate Power Plant,TX,59391,ENG01,18.3,Natural Gas Internal Combustion Engine,NG,IC,"(TS) Construction complete, but not yet in commercial operation",18.7
2016,12,17583,"South Texas Electric Coop, Inc",Electric Utility,Red Gate Power Plant,TX,59391,ENG02,18.3,Natural Gas Internal Combustion Engine,NG,IC,"(TS) Construction complete, but not yet in commercial operation",18.7
2016,12,17583,"South Texas Electric Coop, Inc",Electric Utility,Red Gate Power Plant,TX,59391,ENG03,18.3,Natural Gas Internal Combustion Engine,NG,IC,"(TS) Construction complete, but not yet in commercial operation",18.7
2016,12,17583,"South Texas Electric Coop, Inc",Electric Utility,Red Gate Power Plant,TX,59391,ENG04,18.3,Natural Gas Internal Combustion Engine,NG,IC,"(TS) Construction complete, but not yet in commercial operation",18.7
2016,12,17583,"South Texas Electric Coop, Inc",Electric Utility,Red Gate Power Plant,TX,59391,ENG05,18.3,Natural Gas Internal Combustion Engine,NG,IC,"(TS) Construction complete, but not yet in commercial operation",18.7
2016,12,17583,"South Texas Electric Coop, Inc",Electric Utility,Red Gate Power Plant,TX,59391,ENG06,18.3,Natural Gas Internal Combustion Engine,NG,IC,"(TS) Construction complete, but not yet in commercial operation",18.7
2016,12,17583,"South Texas Electric Coop, Inc",Electric Utility,Red Gate Power Plant,TX,59391,ENG07,18.3,Natural Gas Internal Combustion Engine,NG,IC,"(TS) Construction complete, but not yet in commercial operation",18.7
2016,12,17583,"South Texas Electric Coop, Inc",Electric Utility,Red Gate Power Plant,TX,59391,ENG08,18.3,Natural Gas Internal Combustion Engine,NG,IC,"(TS) Construction complete, but not yet in commercial operation",18.7
2016,12,17583,"South Texas Electric Coop, Inc",Electric Utility,Red Gate Power Plant,TX,59391,ENG09,18.3,Natural Gas Internal Combustion Engine,NG,IC,"(TS) Construction complete, but not yet in commercial operation",18.7
2016,12,17583,"South Texas Electric Coop, Inc",Electric Utility,Red Gate Power Plant,TX,59391,ENG10,18.3,Natural Gas Internal Combustion Engine,NG,IC,"(TS) Construction complete, but not yet in commercial operation",18.7
2016,12,17583,"South Texas Electric Coop, Inc",Electric Utility,Red Gate Power Plant,TX,59391,ENG11,18.3,Natural Gas Internal Combustion Engine,NG,IC,"(TS) Construction complete, but not yet in commercial operation",18.7
2016,12,17583,"South Texas Electric Coop, Inc",Electric Utility,Red Gate Power Plant,TX,59391,ENG12,18.3,Natural Gas Internal Combustion Engine,NG,IC,"(TS) Construction complete, but not yet in commercial operation",18.7
2016,12,17650,Southern Power Co,IPP,"Boulder Solar Power, LLC",NV,60352,BSP,100,Solar Photovoltaic,SUN,PV,"(TS) Construction complete, but not yet in commercial operation",100
2016,12,17650,Southern Power Co,IPP,Butler Solar Project 103,GA,59896,1,103,Solar Photovoltaic,SUN,PV,"(V) Under construction, more than 50 percent complete",103
2016,12,17650,Southern Power Co,IPP,East Pecos Solar,TX,60436,1,118.5,Solar Photovoltaic,SUN,PV,"(V) Under construction, more than 50 percent complete",118.5
2016,12,17650,Southern Power Co,IPP,Rutherford Farm,NC,59589,PV1,61,Solar Photovoltaic,SUN,PV,"(V) Under construction, more than 50 percent complete",61
2016,12,60197,"St. Pauls Solar 1, LLC",IPP,"St. Pauls Solar 1, LLC",NC,60396,FLS1,4.9,Solar Photovoltaic,SUN,PV,"(V) Under construction, more than 50 percent complete",4.9
2016,12,59138,"SunPower Corporation, Systems",IPP,Rio Bravo Solar 1 LLC,CA,59249,PV1,19.5,Solar Photovoltaic,SUN,PV,"(TS) Construction complete, but not yet in commercial operation",20
2016,12,59138,"SunPower Corporation, Systems",IPP,Rio Bravo Solar II LLC,CA,59250,PV1,19.5,Solar Photovoltaic,SUN,PV,"(TS) Construction complete, but not yet in commercial operation",20
2016,12,59138,"SunPower Corporation, Systems",IPP,Wildwood Solar II,CA,59253,PV1,14.7,Solar Photovoltaic,SUN,PV,"(TS) Construction complete, but not yet in commercial operation",15
2016,12,59839,Sunflower Wind Project,IPP,Sunflower Wind Project,ND,60088,SNFLR,104,Onshore Wind Turbine,WND,WT,"(V) Under construction, more than 50 percent complete",104
2016,12,58658,Sunlight Partners,IPP,Beetle Solar,NC,59511,PV1,4,Solar Photovoltaic,SUN,PV,"(V) Under construction, more than 50 percent complete",4
2016,12,58658,Sunlight Partners,IPP,Carol Jean Solar,NC,59017,GEN 1,4,Solar Photovoltaic,SUN,PV,"(U) Under construction, less than or equal to 50 percent complete",4
2016,12,58658,Sunlight Partners,IPP,Husky Solar,NC,59510,PV1,5,Solar Photovoltaic,SUN,PV,"(V) Under construction, more than 50 percent complete",5
2016,12,58661,"Sustainable Power Group, LLC",IPP,Antelope DSR 1,CA,60186,DSR1,50,Solar Photovoltaic,SUN,PV,"(V) Under construction, more than 50 percent complete",50
2016,12,58661,"Sustainable Power Group, LLC",IPP,Antelope DSR 2,CA,60187,DSR2,5,Solar Photovoltaic,SUN,PV,"(V) Under construction, more than 50 percent complete",5
2016,12,58661,"Sustainable Power Group, LLC",IPP,Elevation Solar C,CA,59964,ELVSC,40,Solar Photovoltaic,SUN,PV,"(V) Under construction, more than 50 percent complete",40
2016,12,58661,"Sustainable Power Group, LLC",IPP,Hecate Energy Beacon Solar 3,CA,59316,BEAC3,56,Solar Photovoltaic,SUN,PV,"(V) Under construction, more than 50 percent complete",56
2016,12,58661,"Sustainable Power Group, LLC",IPP,Hecate Energy Beacon Solar 4,CA,59317,BEAC4,50,Solar Photovoltaic,SUN,PV,"(V) Under construction, more than 50 percent complete",50
2016,12,58661,"Sustainable Power Group, LLC",IPP,North Lancaster Ranch,CA,59962,NLR,20,Solar Photovoltaic,SUN,PV,"(V) Under construction, more than 50 percent complete",20
2016,12,58661,"Sustainable Power Group, LLC",IPP,Solverde 1,CA,60185,SOLV1,85,Solar Photovoltaic,SUN,PV,"(V) Under construction, more than 50 percent complete",85
2016,12,58661,"Sustainable Power Group, LLC",IPP,Western Antelope Blue Sky B,CA,59961,WABSB,20,Solar Photovoltaic,SUN,PV,"(V) Under construction, more than 50 percent complete",20
2016,12,58661,"Sustainable Power Group, LLC",IPP,Western Antelope Dry Ranch,CA,58627,WADR,10,Solar Photovoltaic,SUN,PV,"(V) Under construction, more than 50 percent complete",10
2016,12,59826,"Syncarpha Bondsville, LLC",IPP,Palmer Landfill,MA,60076,SYNPL,4,Solar Photovoltaic,SUN,PV,"(V) Under construction, more than 50 percent complete",4
2016,12,18454,Tampa Electric Co,Electric Utility,Legoland Solar,FL,60371,1,1.5,Solar Photovoltaic,SUN,PV,"(V) Under construction, more than 50 percent complete",1.5
2016,12,60245,Three Peaks Power LLC,IPP,Three Peaks Power,UT,60432,TPP,80,Solar Photovoltaic,SUN,PV,"(TS) Construction complete, but not yet in commercial operation",80
2016,12,24211,Tucson Electric Power Co,Electric Utility,Demoss Petrie,AZ,124,BA1,10,Batteries,MWH,BA,"(V) Under construction, more than 50 percent complete",10
2016,12,60273,"Tyler Bluff Wind Project, LLC",IPP,"Tyler Bluff Wind Project, LLC",TX,60502,GEN1,125.6,Onshore Wind Turbine,WND,WT,"(TS) Construction complete, but not yet in commercial operation",125.6
2016,12,58153,US Magnesium,Industrial,US Magnesium,UT,58191,GT4,24,Natural Gas Fired Combustion Turbine,NG,GT,"(V) Under construction, more than 50 percent complete",30
2016,12,19876,Virginia Electric & Power Co,Electric Utility,Scott Solar Farm,VA,60316,1,6.8,Solar Photovoltaic,SUN,PV,"(U) Under construction, less than or equal to 50 percent complete",17
2016,12,19876,Virginia Electric & Power Co,Electric Utility,Whitehouse Solar Farm,VA,60319,1,8,Solar Photovoltaic,SUN,PV,"(U) Under construction, less than or equal to 50 percent complete",20
2016,12,19876,Virginia Electric & Power Co,Electric Utility,Woodland Solar Farm,VA,60318,1,7.6,Solar Photovoltaic,SUN,PV,"(U) Under construction, less than or equal to 50 percent complete",19
2016,12,54842,WM Renewable Energy LLC,IPP,Waste Mangement Redwood LFGTE,CA,59299,RED1,2,Landfill Gas,LFG,IC,"(V) Under construction, more than 50 percent complete",2
2016,12,54842,WM Renewable Energy LLC,IPP,Waste Mangement Redwood LFGTE,CA,59299,RED2,2,Landfill Gas,LFG,IC,"(V) Under construction, more than 50 percent complete",2
2017,1,55918,Acciona Wind Energy USA LLC,IPP,"San Roman Wind I, LLC",TX,59712,SRWI,95.3,Onshore Wind Turbine,WND,WT,"(V) Under construction, more than 50 percent complete",95.3
2017,1,60281,"Altus Power America Management, LLC",IPP,Aloha Solar Energy Fund 1 PK1,HI,58659,PK-1,5,Solar Photovoltaic,SUN,PV,"(U) Under construction, less than or equal to 50 percent complete",5
2017,1,59758,"American Falls Solar II, LLC",IPP,American Falls Solar II,ID,60012,IPAF2,20,Solar Photovoltaic,SUN,PV,"(U) Under construction, less than or equal to 50 percent complete",20
2017,1,59757,American Falls Solar LLC,IPP,American Falls Solar,ID,60011,IPAF,20,Solar Photovoltaic,SUN,PV,"(U) Under construction, less than or equal to 50 percent complete",20
2017,1,1307,Basin Electric Power Coop,Electric Utility,Lonesome Creek Station,ND,57943,4,40,Natural Gas Fired Combustion Turbine,NG,GT,"(TS) Construction complete, but not yet in commercial operation",60.5
2017,1,1307,Basin Electric Power Coop,Electric Utility,Lonesome Creek Station,ND,57943,5,40,Natural Gas Fired Combustion Turbine,NG,GT,"(TS) Construction complete, but not yet in commercial operation",60.5
2017,1,1307,Basin Electric Power Coop,Electric Utility,Pioneer Generating Station,ND,57881,11,9.3,Natural Gas Internal Combustion Engine,NG,IC,"(TS) Construction complete, but not yet in commercial operation",9.3
